model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
GISS-E2-1-G,r6i1p5f1,0,-,,,,,
GISS-E2-1-G,r6i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r7i1p1f1,0,-,,,,,
GISS-E2-1-G,r7i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r7i1p3f1,0,-,,,,,
GISS-E2-1-G,r7i1p5f1,0,-,,,,,
GISS-E2-1-G,r7i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r8i1p1f1,0,-,,,,,
GISS-E2-1-G,r8i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r8i1p3f1,0,-,,,,,
GISS-E2-1-G,r8i1p5f1,0,-,,,,,
GISS-E2-1-G,r8i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r9i1p1f1,0,-,,,,,
GISS-E2-1-G,r9i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r9i1p3f1,0,-,,,,,
GISS-E2-1-G,r9i1p5f1,0,-,,,,,
GISS-E2-1-G,r9i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r10i1p1f1,0,-,,,,,
GISS-E2-1-G,r10i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r10i1p3f1,0,-,,,,,
GISS-E2-1-G,r10i1p5f1,0,-,,,,,
GISS-E2-1-G,r10i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r11i1p1f2,0,-,,,,,
GISS-E2-1-G,r101i1p1f1,0,-,,,,,
GISS-E2-1-G,r102i1p1f1,0,-,,,,,
GISS-E2-1-H,r1i1p1f1,0,-,,,,,
